No,보세운송업자부호,보세운송업체명,영업소재지
67,020027,서일운수(주),인천시 남구 학익동 47블럭 2롯트 
68,020046,은혜기업(주),"인천광역시 중구 인항로 6 (신흥동3가, 정광씨팰리스) 제12층 제에이1201호"
69,020210,(주)초강물류,"인천광역시 중구 인항로 6 (신흥동3가, 정광씨팰리스) 비동 720호"
70,020211,(주)한익스프레스,경기도 화성시 초록로 103 (양감면) 
71,020213,(주)해성물류,"인천광역시 중구 서해대로30번길 32 (신흥동3가, 인천남항컨테이너물류기지) "
72,020268,(주)청명,인천 중구 신흥동3가 7-308 정광씨팰 리스 B-914 
73,020271,성호종합물류(주),"인천광역시 중구 서해대로417번길 48 (신생동, 지에스주유소) 2층"
74,020272,청해로지스틱(주),인천광역시 중구 축항대로166번길 57 (항동7가) 
75,020295,(주)태산운수,"인천광역시 중구 축항대로296번길 125 (신흥동3가, (주)국보아암물류센터) 2층씨동"
76,020332,범진물류(주),인천광역시 중구 제물량로 172 (신생동) 1층
77,020370,(주)세종글로벌,인천광역시 중구 축항대로 194 (항동7가) 동부냉장 중202호
78,020376,(주)마루로직스,인천광역시 중구 서해대로418번길 5 (신흥동3가) 2층
79,020382,한우리로지스틱(주),"인천광역시 미추홀구 토금중로 13 (용현동, 풍림하나로쇼핑센타) 302-2호"
80,020396,(주)다인트랜스,"인천광역시 미추홀구 아암대로 109 (용현동, 청솔프라자) 301호"
81,020461,나우트랜스(주),"인천광역시 중구 공항동로295번길 77-8 (운서동, 인천항공화물터미널B) 비동 215호"
82,020466,(주)에스피물류,"인천광역시 중구 서해대로94번길 130 (신흥동3가, 화인통상) "
83,020467,(주)웰빙로직스,"인천광역시 중구 서해대로94번길 132 (신흥동3가, 화인통상물류센터) 비동 504호"
84,020655,해광로지스틱(주),"인천광역시 중구 인항로 6 (신흥동3가, 정광씨팰리스) 에이621호, 에이622호"
85,020685,(주)태광지엘에스,"인천 중구 서해대로 366, 510호  신  흥동3가, 정석빌딩신관 "
86,020733,(주)석영물류,"인천광역시 미추홀구 아암대로29번길 16 (용현동, 인천 용현 엑슬루타워) 105동 1504호"
87,020801,(주)원우티엘에스,"인천광역시 동구 금곡로 35 (송림동, 예공바흐카운티) 101 - 1005"
88,020948,(주)인트란스로지스틱,"인천광역시 연수구 송도과학로 32 (송도동) , 29층 에스2901호(송도테크노파크아이티센터)"
89,020985,와이엘물류(주),인천광역시 중구 축항대로212번길 36 (항동7가)
90,020992,더로지스(주),"인천광역시 연수구 송도과학로 56 (송도동, 송도테크노파크 BT센터) 21층 2111호"
91,020A43,투더블유로직스(주),인천광역시 연수구 인천타워대로 323 (송도동) 에이동 2501호(송도센트로드)
92,020A62,(주)광성물류,인천광역시 중구 축항대로296번길 77 
93,020A84,(주)세미티엘에스,인천광역시 중구 도원로 2 (신흥동3가) 3층
94,020C74,(주)대건상운,"인천광역시 동구 방축로37번길 30 (송현동, 인천산업용품유통단지) 3층"
95,020D01,(주)우련티엘에스,"인천광역시 중구 서해대로30번길 13 (신흥동3가, 유니온로직스센터) "
96,020D32,(주)제이알트렌스,인천광역시 연수구 센트럴로 313 (송도동) 비동 1826호(씨워크인테라스한라)
97,020D76,(주)에이티로직스,인천광역시 중구 축항대로296번길 172 (신흥동3가) 206호(엔케이지 사무동)
98,020E19,케이제이알(주),"경기도 평택시 포승읍 여술1길 100 ,123호(평택스마트빌포레)"
99,020E59,(주)라인올물류,"인천광역시 연수구 센트럴로 313 (송도동) A동 301호,302호,303호,304호,305호 (씨워크인테라스한라)"
100,020G25,케이트랜스(주),"인천광역시 중구 서해대로94번길 132 (신흥동3가, 화인통상물류센터) 403호"
101,020H80,(주)타임로지스틱,"인천광역시 미추홀구 아암대로29번길 16 (용현동, 인천 용현 엑슬루타워) 105-2002"
102,020I23,(주)유올베스트,"인천광역시 중구 서해대로94번길 98-1 (신흥동3가, 대한통운) 3층"
103,020I48,(주)씨엔에이치로지스틱,인천광역시 중구 우현로 3 (사동) 205호
104,020I88,나진물산(주),"인천광역시 중구 서해대로 366 (신흥동3가, 정석빌딩) 3층 311-1호"
105,020I97,대우통운(주),"인천광역시 중구 인중로 176 (사동, 나성빌딩) 3층 301호"
106,020L85,(주)다해로지스틱,"인천광역시 동구 방축로 105 (송림동, 인천산업용품유통단지) 21동 222호"
107,020L89,(주)화정엘엔티,"인천광역시 중구 서해대로 366 (신흥동3가, 정석빌딩) 713호"
108,020M21,(주)일리로직스,"인천광역시 중구 인중로 190 (사동, 재미난박물관) 4층 403호(대성빌딩)"
109,020N49,(주)지오스,인천광역시 중구 공항동로296번길 98-11 (운서동) 비동 102호
110,020N54,(주)바로트랜스,"인천광역시 연수구 송도미래로 30 (송도동, 송도 BRC 스마트밸리 지식산업센터) 디동 305호"
111,020P70,성일운수(주),"인천광역시 중구 축항대로296번길 183 (신흥동3가, 에스케이씨티에이(주)) 2층(화물자동차전용복합휴게소)"
112,020Q32,(주)베스트로,"인천광역시 연수구 인천타워대로 323 (송도동) 비동 2004호 (송도동, 송도센트로드)"
113,020T85,(주)투데이로지스,인천광역시 연수구 송도미래로11번길 27 (송도동) 스마트스퀘어 에이동 706호
114,020U88,(주)지앤아이로지텍,"인천광역시 연수구 인천신항대로 924 (송도동, (주)지앤아이로지텍 물류센터) "
115,020W57,(주)더블유비로직스,"인천광역시 연수구 인천타워대로 323 (송도동, 송도 센트로드) 에이동 1717호"
116,020X23,프로페셔널로지스틱스(주),인천광역시 연수구 송도과학로 56 (송도동) 2114호(송도테크노파크비티센터)
117,020Y72,(주)트랜스물류,인천광역시 중구 하늘별빛로65번길 21 (중산동) 804호(썬앤문타워)
118,021002,(주)공성로지스틱스,경기도 안성시 새울길 9-9 (원곡면) 
119,021003,합자회사 부광통운,서울시 동작구 동적동 61-38 
120,021015,(주)하나로티앤에스,경기도 수원시 영통구 광교로 105 (이의동) 경기알앤디비센터 415호
121,021031,(주)신화로직스,경기도 평택시 서동대로 437-207 (포승읍) 
122,021050,상원로지스틱(주),"경기도 화성시 동탄산단3길 19-22 (방교동, 상원로지스틱) "
123,021081,파인글로벌(주),경기도 화성시 은행나무로 46-46 (양감면) 
124,021552,(주)하나로에스,"경기도 화성시 동탄산단4길 37 (동탄면, (주)하나로티엔에스) "
125,023102,(주)서일토탈로지스틱스,"인천광역시 중구 공항동로296번길 171 (운서동, 에이엠비) 에프4-8"
126,023791,(주)동영티엘에스,인천광역시 부평구 주부토로 236 (갈산동) 제비동 1906호
127,030001,(주)삼천기업,"부산광역시 중구 중앙대로 63 (중앙동3가, 부산우체국) 9층"
128,030003,중앙기업(주),부산광역시 중구 중앙대로42번길 5 (중앙동5가) 동주빌딩 6층
129,030004,(유)해강운수,부산광역시 강서구 화전산단5로74번길 3 (화전동) 
130,030005,(주)한국기업,"부산광역시 중구 중앙대로 102 (중앙동4가, 팬오션(주)부산빌딩) 14층 1400호"
131,030006,(주)유성,"부산광역시 동구 중앙대로 263 (초량동, 국제오피스텔) 1406호"
132,030007,천일정기화물자동차(주),"부산광역시 부산진구 전포대로 217 (전포동, 천일정기화물자동차(주) 사옥) "
133,030008,삼육트랙터(주),부산광역시 중구 중앙대로42번길 5 (중앙동5가) 동주빌딩 5층
134,030011,삼성통운(주),"부산광역시 중구 중앙대로 88 (중앙동4가, 은산베이빌딩) 501호"
135,030017,(주)유성특송,부산광역시 중구 해관로 89 (대창동1가) 709호
136,030023,인터지스(주),부산광역시 중구 충장대로9번길 52 마린센터 13층
137,030032,극동특송(주),부산시 사하구 구평동 127-8 
138,030042,동아물류(주),인천광역시 중구 공항동로296번길 97-49 (운서동) 지5 204호(인천에어카고센타)
139,030043,(주)세기특수,경상남도 밀양시 산내면 가인2길 81 
140,030049,신세기기업(주),부산광역시 중구 충장대로9번길 18 (중앙동4가) 2층
141,030055,(주)코리아브이익스프레스,"부산광역시 중구 중앙대로 94 (중앙동4가) 10층, 외환은행빌딩"
142,030167,(주)한아익스프레스,부산광역시 중구 중앙대로 118 (중앙동4가) 남전빌딩 301호
143,030185,(주)대통,부산광역시 해운대구 반여로155번다길 41 (반여동) 센텀스타 201호
144,030187,금영통운유한회사,부산시 연제구 연산1동 584-1 
145,030188,(주)화신종합운수,"부산광역시 동구 중앙대로180번길 13 (초량동, 오피스텔프레지던트) 202호"
146,030295,(주)대성해운,부산광역시 중구 중앙대로 70 (중앙동4가) 
147,030296,하성물류(주),부산광역시 동구 중앙대로180번길 6-13 (초량동) 203호
148,030385,(주)진흥물류,부산광역시 중구 충장대로9번길 22 (중앙동4가) 신도빌딩 605호
149,030391,신정선박(주),부산광역시 사상구 학감대로133번길 43 (학장동) 에스제이빌딩 3층
150,030398,(주)구산물류,"부산광역시 중구 충장대로9번길 52 (중앙동4가, 마린센터빌딩) 1204호"
151,030416,(주)지원로지스틱,부산광역시 중구 충장대로5번길 32-1 (중앙동4가) 203호
152,030437,씨엔씨통상(주),"부산광역시 동구 조방로 14 (범일동, 동일타워) 2314호"
153,030440,광영익스프레스(주),부산광역시 중구 중앙대로116번길 13 (중앙동4가) 삼중빌딩 401-1
154,030441,화성익스프레스(주),"부산광역시 중구 중앙대로 88 (중앙동4가, 정석빌딩) 1001호"
155,030445,양양종합물류(주),"부산시 중구 충장대로9번길 52, 1704 호 중앙동4가,마린센터 "
156,030448,국양로지텍(주),"부산광역시 중구 충장대로 11 (중앙동4가, 무역회관빌딩) 15층"
157,030524,(주)신익,"부산광역시 중구 중앙대로 102 502호(중앙동4가, 팬오션빌딩)"
158,030711,(주)일성물류,부산광역시 중구 충장대로5번길 46-1 (중앙동4가) 신흥빌딩 4층
159,030775,고려종합물류(주),부산광역시 중구 충장대로5번길 10 (중앙동4가) 신영빌딩 203호
160,030788,(주)삼현통운,부산광역시 중구 충장대로9번길 17-1 (중앙동4가) 201호
161,030849,동아물류(주),부산광역시 중구 충장대로9번길 35-1 (중앙동4가) 동진빌딩 302호
162,030877,금오운수(주),"부산광역시 중구 대교로 119 (중앙동6가, 씨제이대한통운빌딩) 1407호"
163,030916,(주)명성로직스,"부산광역시 중구 중앙대로 131 (대창동1가, 센트렐오피스텔) 807호"
164,030929,(주)다움,"부산광역시 중구 중앙대로 87 ,동아일보빌딩 9층"
165,030991,(주)트랜스피아,"부산광역시 남구 못골번영로66번길 36-6 (대연동, ) 바인빌리지비동 305호"
166,030A51,근화물류(주),부산광역시 중구 중앙대로 124-2 동일빌딩 402호
167,030A83,델타티엘에스(주),부산광역시 중구 충장대로9번길 13 (중앙동4가) 극동빌딩 501호
168,030A87,(주)올웨이즈익스프레스,"경상남도 창원시 진해구 신항5로 15-13 (용원동, 엠에스디스트리파크) "
169,030AZ2,서한종합물류(주),"부산광역시 중구 충장대로5번길 26 ,203호"
170,030B13,(주)태흥글로벌,"부산광역시 중구 해관로 65 (중앙동4가, 은산빌딩) 1101호"
171,030B78,(주)선경물류,"부산시 중구 충장대로 9번길 17-1 ,  304호 중앙동4가,경도빌딩 "
172,030C97,(주)팬스타트리,"부산시 중구 해관로 30  중앙동2가,  팬스타크루즈프라자 "
173,030D50,근대종합물류(주),"부산광역시 동구 중앙대로 192 (초량동, 한국교직원공제회 부산회관) 6층"
174,030D93,(주)금강기업,부산광역시 중구 충장대로5번길 63-1 (중앙동4가) 3층
175,030E42,(주)제이에프이로직스,부산광역시 중구 충장대로5번길 50-1 (중앙동4가) 
176,030E45,서진에스엔엘(주),"부산광역시 동구 중앙대로 236 (초량동, 신흥빌딩) 801호"
177,030E90,삼정종합물류(주),부산광역시 중구 충장대로9번길 13 (중앙동4가) 405호(극동빌딩)
178,030E96,상록로지텍코리아(주),부산광역시 중구 중앙대로 136 (중앙동4가) 케이티중부산사옥 2층
179,030F05,퍼스트로지스틱스(주),"부산광역시 중구 중앙대로 131 (대창동1가, 센트렐오피스텔) 405호"
180,030F66,(주)에스에스물류,"부산광역시 중구 해관로 65 , 은산빌딩 1103호"
181,030G88,우성해상(주),부산광역시 중구 충장대로5번길 72 케이티부산통신센터 6층
182,030G93,(주)엠익스프레스,"부산광역시 동구 자성로133번길 6 (범일동, 진흥 마제스타워 범일) 103동 20층 3420호"
183,030H17,(주)대성티엘에스,"부산광역시 강서구 녹산산단262로50번길 40 (송정동, TOOLMART) 5동 206호"
184,030H42,(주)상원물류,부산광역시 중구 중앙대로 94 (중앙동4가) 외환은행빌딩 5층
185,030I51,(주)씨엔에스로직스,부산광역시 중구 중앙대로 154 (중앙동4가) 시티비앤피 6층
186,030I52,(주)엠제이물류,부산광역시 중구 중앙대로116번길 13 (중앙동4가) 3층
187,030I88,금오로지스(주),"부산광역시 중구 대교로 119 (중앙동6가, 씨제이대한통운빌딩) 1407호"
188,030J21,동우인터내셔널(주),부산광역시 중구 충장대로9번길 21 (중앙동4가) 성전빌딩 4층
189,030J59,(주)디와이티앤엘,"부산광역시 동구 중앙대로 176 (초량동, 대한통운빌딩) 505호"
190,030J94,하이로직스(주),부산광역시 중구 충장대로9번길 15 (중앙동4가) 502호
191,030J95,(주)유수로지스틱스,"부산광역시 중구 중앙대로 80 (중앙동4가, 노블리안2) 1206호"
192,030K15,(주)포유엔터프라이즈,부산광역시 중구 중앙대로 124-2 (중앙동4가) 동일빌딩 601호
193,030K42,티피엠로지스(주),부산광역시 중구 중앙대로 124-2 (중앙동4가) 동일빌딩 501호
194,030K67,세중통운(주),"부산광역시 중구 중앙대로 102 (중앙동4가, STX) 팬오션부산빌딩 6층 601-1호"
195,030K79,(주)카고로직스,부산광역시 동구 중앙대로 168 (초량동) 3층
196,030M04,(주)제이트랜스,부산광역시 중구 중앙대로 120 KH마이우스 3층
197,030M18,(주)소진,부산광역시 중구 충장대로5번길 50-1 (중앙동4가) 703호
198,030M39,(주)해냄통운,부산광역시 중구 대청로155번길 6 (중앙동4가) 901호
199,030M74,(주)서연로직스,부산광역시 중구 중앙대로98번길 7 (중앙동4가) 신우빌딩 205호
200,030M98,(주)동우로지스틱,부산광역시 중구 충장대로13번길 17 (중앙동4가) 삼양사빌딩 204호
201,030N03,(주)에이치유로지스틱스,부산광역시 중구 중앙대로 136 (중앙동4가) 케이티중앙빌딩 301호
202,030N16,(주)태성상운,"부산광역시 중구 대청로155번길 6 3층(중앙동4가,유성빌딩)"
203,030N44,현원물류(주),"부산광역시 동구 중앙대로 263 (초량동, 국제오피스텔) 810호"
204,030N45,(주)쿨스,부산광역시 강서구 녹산산단232로 16 (송정동) 
205,030O10,(주)태영국제물류,부산광역시 강서구 녹산산단232로 16 (송정동) 
206,030O92,(주)제이엔씨글로벌,부산광역시 중구 중앙대로 99 (대창동1가) 2302호
207,030P02,(주)서강엔터프라이즈,부산광역시 중구 충장대로5번길 36 (중앙동4가) 이산빌딩 206호
208,030P65,(주)우주로지스틱,부산광역시 중구 충장대로9번길 17 (중앙동4가) 302호
209,030Q23,(주)제이피로직스,"부산광역시 중구 해관로 65 (중앙동4가, 은산빌딩) 307호"
210,030Q40,더원물류(주),부산광역시 중구 충장대로5번길 18-1 (중앙동4가) 403호
211,030R48,(주)스타링크,부산광역시 중구 해관로 30 (중앙동2가) 
212,030R63,(주)엠피에스,"부산광역시 중구 충장대로 11 (중앙동4가, 무역회관빌딩) 502호"
213,030S14,(주)인글로벌,부산광역시 강서구 가락대로 230-8 (송정동) 2동 3층
214,030S57,(주)현수기업,부산광역시 남구 유엔평화로143번길 39 (대연동) 4층
215,030T23,(주)지엠엘,"경상남도 창원시 진해구 신항7로 132 (남문동, (주)지엠엘) "
216,030V46,(주)팬스타트리,"부산광역시 중구 해관로 30 (중앙동2가) 5층, 팬스타크루즈프라자"
217,030V86,(주)부림교역,부산광역시 강서구 범방3로30번길 12 (범방동) 
218,030W12,에스에스트랜스(주),부산광역시 중구 중앙대로132번길 7 (중앙동4가) 403호
219,030W27,(주)민성로직스,"부산광역시 중구 중앙대로 80 (중앙동4가, 노블리안2) 708호"
220,030W86,(주)진양지에스,부산광역시 중구 충장대로9번길 55 (중앙동4가) 302호
221,030W95,(주)태성물류,"부산광역시 수영구 수영로 413-1 (남천동, 세종 엠-스테이 Ⅱ) 1004호"
222,030W99,(주)지투비로지스틱스,부산광역시 중구 대청로155번길 6 (중앙동4가) 광진티엘에스빌딩 7층
223,030X07,(주)해성종합물류,부산광역시 중구 동광길 102 (대창동1가) 선경뉴빌아파트 403호
224,030X93,은하수로지스틱스(주),부산광역시 중구 충장대로5번길 36 (중앙동4가) 304호
225,030Y33,(주)태성로지스,"부산광역시 중구 중앙대로 120 ,4층(중앙동4가, 케이에이치마이우스)"
226,030Y46,(주)카고로,"부산광역시 중구 충장대로9번길 52 (중앙동4가, 마린센터빌딩) 1801-2호"
227,030Y73,와이엠익스프레스(주),부산광역시 영도구 남항서로 132 (대교동1가) 한우리타워 301호
228,030Y86,(주)에스제이로지스틱스,"부산광역시 중구 충장대로9번길 52 (중앙동4가, 마린센터빌딩) 1504호"
229,030Y89,(주)에이치에스엘엔씨,"부산광역시 중구 충장대로 11 (중앙동4가, 부산무역회관) 4층 401호"
230,030Z97,(주)비피에스,"부산광역시 서구 충무대로 12 (암남동) 301호(암남동,지에스프라자)"
231,030ZE7,(주)팬스타엔터프라이즈,부산광역시 중구 해관로 30 
232,030ZN1,(주)상원종합물류,부산광역시 중구 중앙대로 94 (중앙동4가) 5층
233,030ZX6,(주)수원엘티씨,"부산광역시 중구 중앙대로 131 (대창동1가, 센트렐오피스텔) 1105~1106호"
234,032015,일통운수(주),부산시 금정구 부곡동 217-2번지 
235,032091,(주)화신종합운수,부산시 금정구 금사동 106-1 
236,032095,(주)화신종합운수,부산시 금정구 금사동 106-1 
237,033001,(주)신한상운,경상남도 양산시 산막공단북8길 12 (호계동) 2층
238,033022,(주)한영종합운수,경상남도 밀양시 천태로 77 (삼랑진읍) 
239,033023,(유)대동통운,경상남도 양산시 양산대로 2187 (하북면) 
240,033031,은산컨테이너터미널(주),부산광역시 강서구 녹산산단232로 12 (송정동) 
241,033032,(주)천경,경상남도 양산시 제방로 285 (물금읍) 양산 icd 3단지 (주)천경
242,033216,(주)경일,경상남도 양산시 어곡공단2길 48 (어곡동) 1층
243,033555,(주)유하물류,경상남도 양산시 화합3길 6-10 (물금읍) 
244,035001,대형기업(주),서울 서대문구 홍은3동 265-147 
245,035030,(주)백마종합물류,인천광역시 중구 공항동로296번길 97-49 (운서동) G6블럭
246,035087,케이익스프레스(주),부산광역시 동구 중앙대로180번길 12-10 (초량동) 403호
247,035210,(주)동륜물류,"부산광역시 중구 중앙대로 136 ,310호(중앙동4가, 케이티중앙빌딩)"
248,035216,(주)트랜샘,부산광역시 강서구 유통단지1로 41 (대저2동) 제본관동 308호
249,035261,성우로지스(주),"부산광역시 강서구 유통단지1로 76 (대저2동, 건축자제판매단지) 13동 404호"
250,035433,비아이디씨(주),부산시 강서구 신항로 96-72(성북동) 
251,035669,신우통운(주),부산시 강서구 호계로 7  죽림동 
252,035776,(주)신영로지스텍,"경상남도 김해시 장유로 360 (신문동, 쌍용예가1차아파트) 112동 301호"
253,035980,태남홀딩스주식회사,부산광역시 강서구 녹산산단178로 37-14 (송정동) 
254,039001,(주)대원상운,부산시 남구 용당동 175-4 
255,039002,(주)풍전운수,"부산광역시 동구 중앙대로180번길 13 (초량동, 오피스텔프레지던트) 202호"
256,039006,서강통운(주),부산광역시 중구 충장대로5번길 26 (중앙동4가) 삼영빌딩 6층
257,039007,유성종합운수 (주),부산직할시 남구 용당동 산 2-1 
258,039008,세방(주),부산광역시 남구 우암로 127 (감만동) 
259,039011,홍진물류(주),부산광역시 남구 신선로 433 (용당동) 
260,039013,씨스코유통(주),부산시 남구 감만동 254-52번지    (전화번호)051-743-6401 
261,039036,(주)광진티엘에스,부산광역시 중구 대청로155번길 6 
262,039064,효진상운(주),부산광역시 남구 유엔평화로14번길 40 (대연동) 아루나빌딩 4층
263,039081,(주)한타특수운송,"부산광역시 중구 중앙대로 102 (중앙동4가, 팬오션(주)부산빌딩) 701호"
264,039094,금강물류(주),"부산광역시 동구 중앙대로 358 (수정동, 금강신일빌딩) 6층"
265,039113,대양티앤티에스(주),"부산광역시 해운대구 센텀중앙로 48 (우동, 에이스하이테크21) 1507호"
266,039116,(주)대현,"부산광역시 중구 중앙대로 102 (중앙동4가, 팬오션(주)부산빌딩) 902호"
267,039119,에이스로지스틱(주),부산광역시 중구 중앙대로42번길 5 (중앙동5가) 동주빌딩 5층
268,039121,운창기업(주),"부산광역시 남구 무민사로 13 (감만동, 판테라오피스텔) 1012호"
269,039125,(주)삼성종합물류,부산광역시 중구 충장대로9번길 15-1 (중앙동4가) 401호
270,039142,(주)청솔로직스,"부산광역시 중구 충장대로9번길 46 (중앙동4가, 한진해운빌딩) "
271,039145,혜성물류(주),"부산광역시 남구 신선로 261 (용당동, 부산 용당 화물차 휴게소) 305호"
272,039183,(주)지산종합물류,부산시 남구 용당동 554 금정빌딩 4층 
273,039188,(주)지산종합물류,부산광역시 남구 신선로 261 (용당동) 내트럭하우스 202호
274,039193,(주)대경로직스,부산광역시 중구 중앙대로 147 (대창동2가) 일신빌딩 7층
275,039204,(주)하이트종합물류,부산시 중구 중앙동4가 88-3 신영빌  딩 305호 
276,039207,(주)현우특수기업,부산광역시 중구 충장대로9번길 13 (중앙동4가) 206호
277,039243,마하통운(주),부산광역시 중구 충장대로13번길 17 (중앙동4가) 삼양사빌딩 206호
278,039271,(주)대일로직스,"부산광역시 해운대구 해운대로469번길 190 (우동, 센텀현대아파트) 상가동 303호"
